Well,Sample,Cq,Calculated_Concentration
33[A],A_T2_n5,27,1.43E+02
34[A],A_T2_n5,27.5,1.03E+02
11[C],A_T2_n8,22.94,2.03E+03
12[C],A_T2_n8,23.34,1.56E+03
13[C],A_T2_n9,22.78,2.25E+03
14[C],A_T2_n9,23.08,1.85E+03
35[A],A1,25.38,4.13E+02
36[A],A1,25.79,3.16E+02
23[B],A2,22.46,2.78E+03
24[B],A2,22.25,3.18E+03
25[B],A3,23.44,1.46E+03
26[B],A3,23.6,1.32E+03
21[B],Ma_T2_n10,19.24,2.28E+04
22[B],Ma_T2_n10,18.89,2.86E+04
37[A],Ma_T2_n3,22.5,2.71E+03
38[A],Ma_T2_n3,22.87,2.13E+03
2[E],Ma_T2_n5,19.05,2.56E+04
3[E],Ma_T2_n5,19.48,1.94E+04
35[B],MA1,13.7,8.47E+05
36[B],MA1,13.89,7.45E+05
37[B],MA2,15.18,3.23E+05
38[B],MA2,14.98,3.66E+05
39[B],MA3,14.5,5.02E+05
40[B],MA3,14.24,5.92E+05
19[B],Mi_T2_n10,17.69,6.24E+04
20[B],Mi_T2_n10,17.75,5.99E+04
15[B],Mi_T2_n2,18.77,3.08E+04
16[B],Mi_T2_n2,19.14,2.43E+04
17[B],Mi_T2_n4,18.56,3.53E+04
18[B],Mi_T2_n4,18.36,4.03E+04
21[C],MI1,21.64,4.73E+03
22[C],MI1,21.58,4.92E+03
4[E],MI2,22.44,2.81E+03
6[E],MI2,22.6,2.53E+03
7[E],MI3,21.21,6.28E+03
8[E],MI3,21.08,6.82E+03
1[A],NTC,27.49,1.04E+02
2[A],NTC,28.34,5.96E+01
34[E],NTC,28.87,4.23E+01
35[E],NTC,28.14,6.79E+01
36[E],NTC,28.11,6.92E+01
46[D],NTC,27.38,1.12E+02
47[B],NTC,26.34,2.21E+02
47[C],NTC,30.66,1.31E+01
47[D],NTC,28.27,6.24E+01
48[B],NTC,26.51,1.97E+02
48[C],NTC,31.24,8.97E+00
48[D],NTC,27.58,9.77E+01
5[B],R_T2_n2,22.74,2.32E+03
6[B],R_T2_n2,22.24,3.20E+03
9[B],R_T2_n4,22.57,2.59E+03
10[B],R_T2_n4,22.58,2.56E+03
10[E],R_T2_n5,23.49,1.42E+03
12[E],R_T2_n5,23.48,1.42E+03
9[C],R_T2_n8,23.15,1.77E+03
10[C],R_T2_n8,23.17,1.74E+03
13[E],R1,24.06,9.74E+02
14[E],R1,23.98,1.03E+03
27[C],R2,22.37,2.95E+03
28[C],R2,22.01,3.72E+03
20[E],R3,22.65,2.45E+03
21[E],R3,22.68,2.40E+03
26[E],W1,13.31,1.09E+06
27[E],W1,13.44,1.00E+06
43[B],W2,14.32,5.63E+05
44[B],W2,14.12,6.44E+05
45[B],W3,13.91,7.37E+05
46[B],W3,14.25,5.91E+05
1[C],Y_T1_n2,25.03,5.19E+02
2[C],Y_T1_n2,25.24,4.52E+02
3[C],Y_T1_n5,24.48,7.41E+02
4[C],Y_T1_n5,24.23,8.71E+02
5[C],Y_T1_n9,23.3,1.60E+03
6[C],Y_T1_n9,23.19,1.72E+03
