"","Sample","Sample_Stage","Sample_Type","Pair","DNA_Conc","Total_Yield","FinalCopiesperngperg","FinalCopiesperg"
"1","Y_T1_n2","L1","Larvae","Yolk_Stage",4.5,900,1988.58684813708,1789728.16332337
"2","Y_T1_n5","L1","Larvae","Yolk_Stage",3.26,652,4567.62663155793,2978092.56377577
"3","Y_T1_n9","L1","Larvae","Yolk_Stage",3.91,782,7194.29501024579,5625938.69801221
"4","R_T2_n4","L3-9","Larvae","Rot_Stage",1.48,296,36180.7196017837,10709493.002128
"5","R_T2_n5","L3-9","Larvae","Rot_Stage",5.48,1096,6021.73305367543,6599819.42682827
"6","R_T2_n8","L3-9","Larvae","Rot_Stage",1.6,320,17132.3467816591,5482350.97013092
"7","A_T2_n5","L14-18","Larvae","Art_Stage",2.3,460,528157.234390197,242952327.81949
"8","A_T2_n8","L14-18","Larvae","Art_Stage",1.52,304,292336.992969971,88870445.8628713
"9","A_T2_n9","L14-18","Larvae","Art_Stage",5.76,1152,50560.0526347971,58245180.6352863
"10","Mi_T2_n10","L29-35","Larvae","Micro_Stage",6.38,1276,532611.97577293,679612881.086259
"11","Mi_T2_n2","L29-35","Larvae","Micro_Stage",7.26,1452,134354.902840583,195083318.924527
"12","Mi_T2_n4","L29-35","Larvae","Micro_Stage",14.2,2840,40878.2573326557,116094250.824742
"13","Ma_T2_n10","L49-53","Larvae","Macro_Stage",1.6,320,90782.504835484,29050401.5473549
"14","Ma_T2_n3","L49-53","Larvae","Macro_Stage",3.58,716,351686.378084089,251807446.708208
"15","Ma_T2_n5","L49-53","Larvae","Macro_Stage",3.9,780,364326.295601133,284174510.568884
"16","W1","Water","Feed/Water","Yolk_Stage",0.202,40.4,5165.08996654673,208669.634648488
"17","W2","Water","Feed/Water","Yolk_Stage",0.0298,5.96,20166.5968305856,120192.91711029
"18","W3","Water","Feed/Water","Yolk_Stage",0.188,37.6,3502.55385397993,131696.024909646
"19","R1","Rot","Feed/Water","Rot_Stage",0.02,4,118560.788906446,474243.155625784
"20","R2","Rot","Feed/Water","Rot_Stage",0.056,11.2,138528.921018454,1551523.91540669
"21","R3","Rot","Feed/Water","Rot_Stage",0.0496,9.92,92020.908920429,912847.416490656
"22","A1","Art","Feed/Water","Art_Stage",12.9,2580,6260.9333822408,16153208.1261813
"23","A2","Art","Feed/Water","Art_Stage",15.6,3120,672.117303154856,2097005.98584315
"24","A3","Art","Feed/Water","Art_Stage",14,2800,330.215743557972,924604.081962322
"25","MI1","Micro","Feed/Water","Micro_Stage",8.2,1640,1131791.91245126,1856138736.42006
"26","MI2","Micro","Feed/Water","Micro_Stage",6.96,1392,598115.323104315,832576529.761206
"27","MI3","Micro","Feed/Water","Micro_Stage",2.22,444,4601409.92119238,2043026005.00942
"28","MA1","Macro","Feed/Water","Macro_Stage",2.48,496,4703133.36655259,2332754149.81008
"29","MA2","Macro","Feed/Water","Macro_Stage",12.3,2460,409827.946382748,1008176748.10156
"30","MA3","Macro","Feed/Water","Macro_Stage",4.7,940,1840269.42721013,1729853261.57752
